URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://schemas.scales-okn.org/rdf/scales#IdbSupvrel1,Idb Supvrel1,A period of supervised release imposed upon a defendant under TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSupvrel2,Idb Supvrel2,A period of supervised release imposed upon a defendant under TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSupvrel3,Idb Supvrel3,A period of supervised release imposed upon a defendant under TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSupvrel4,Idb Supvrel4,A period of supervised release imposed upon a defendant under TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSupvrel5,Idb Supvrel5,A period of supervised release imposed upon a defendant under TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTapeyear,Idb Tapeyear,Statistical year.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTcounsel,Idb Tcounsel,A code indicating the type of legal counsel assigned to a defendant at the time the case was closed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTdateuse,Idb Tdateuse,This field is used to identify cases within a given statistical or fiscal year of termination as counted by the AO in published reports.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTermdate,Idb Termdate,The date upon which the case was closed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTermjudg,Idb Termjudg,The statistical code for the judge assigned at the time of disposition.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTermmag,Idb Termmag,The statistical code for the magistrate judge assigned at the time of disposition.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTermoff,Idb Termoff,The code of the district office where the case was terminated.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTitl,Idb Titl,This term is defined in the IDB documentation as 'This field is optional.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTjudge,Idb Tjudge,The statistical code associated with the judge who terminated the case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbToffcd1,Idb Toffcd1,The four digit AO offense code associated with TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbToffcd2,Idb Toffcd2,The four digit AO offense code associated with TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbToffcd3,Idb Toffcd3,The four digit AO offense code associated with TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbToffcd4,Idb Toffcd4,The four digit AO offense code associated with TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbToffcd5,Idb Toffcd5,The four digit AO offense code associated with TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTofflvl1,Idb Tofflvl1,A code indicating the level of offense associated with TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTofflvl2,Idb Tofflvl2,A code indicating the level of offense associated with TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTofflvl3,Idb Tofflvl3,A code indicating the level of offense associated with TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTofflvl4,Idb Tofflvl4,A code indicating the level of offense associated with TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTofflvl5,Idb Tofflvl5,A code indicating the level of offense associated with TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTrandef,Idb Trandef,The unique number originally assigned to a defendant by the district in which an intra- district transfer took place.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTrandist,Idb Trandist,The code of the judicial district in which an intra- district transfer took place.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTrandock,Idb Trandock,The docket number originally assigned by the district in which an intra-district transfer took place.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTranoff,Idb Tranoff,The code of the district office from which an intra-district transfer took place.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTransdat,Idb Transdat,The date when the papers were received in the receiving district for a transferred case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTransdoc,Idb Transdoc,The docket number of the case in the losing district.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTransoff,Idb Transoff,The office number of the district losing the case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTransorg,Idb Transorg,The origin number of the case in the losing district.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTrclact,Idb Trclact,A code that indicates a case involving allegations of class action.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTrialend,Idb Trialend,This term is defined in the IDB documentation as 'Data rarely entered in the past; this field is no longer being used.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTribegan,Idb Tribegan,This term is defined in the IDB documentation as 'Data rarely entered in the past; this field is no longer being used.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTrmarb,Idb Trmarb,Termination arbitration code.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTsev1,Idb Tsev1,A code indicating the severity associated with TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTsev2,Idb Tsev2,A code indicating the severity associated with TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTsev3,Idb Tsev3,A code indicating the severity associated with TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTsev4,Idb Tsev4,A code indicating the severity associated with TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTsev5,Idb Tsev5,A code indicating the severity associated with TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTtitle1,Idb Ttitle1,The title and section of the U.S. Code applicable to the offense that carried the most severe disposition and penalty under which the defendant was disposed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTtitle2,Idb Ttitle2,The title and section of the U.S. Code applicable to the offense under which the defendant was disposed that carried the second most severe disposition and penalty.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTtitle3,Idb Ttitle3,The title and section of the U.S. Code applicable to the offense under which the defendant was disposed that carried the third most severe disposition and penalty.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTtitle4,Idb Ttitle4,The title and section of the U.S. Code applicable to the offense under which the defendant was disposed that carried the fourth most severe disposition and penalty.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTtitle5,Idb Ttitle5,The title and section of the U.S. Code applicable to the offense under which the defendant was disposed that carried the fifth most severe disposition and penalty.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTypemag,Idb Typemag,Case type associated with a magistrate case if the current case was merged from a magistrate case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTypereg,Idb Typereg,Case type associated with the current defendant record.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbTypetrn,Idb Typetrn,Case type associated with the originating case if the current case was a transfer.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbUpdate,Idb Update,The date of the last action taken on the record.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbVer,Idb Ver,A sequential number indicating the iteration of the defendant record.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IfpJudgeAttribution,Ifp Judge Attribution,"The judge presiding over a case at the time a given docket entry was entered on a docket sheet that includes ""in forma pauperis"" (IFP) activity.",Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://schemas.scales-okn.org/rdf/scales#IfpLabel,Ifp Label,"A SCALES IFP label (application, grant, deny, other) that applies to a given docket entry on a docket sheet that includes ""in forma pauperis"" (IFP) activity.",Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://schemas.scales-okn.org/rdf/scales#IntersectingNeighborhood,Intersecting Neighborhood,A city neighborhood whose boundaries intersect with those of a given area.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Location,
http://schemas.scales-okn.org/rdf/scales#LawFirm,Law Firm,A law firm or other office offering legal services.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,http://schemas.scales-okn.org/rdf/scales#LawFirm
http://schemas.scales-okn.org/rdf/scales#MemberCase,Member Case,"In multi-district litigation (MDL), a case listed in the ""PACER Member Cases"" header section on the docket sheet for a given lead case.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/niem-core/5.0/#CourtCase
http://schemas.scales-okn.org/rdf/scales#NAICSCode,NAICSCode,A North American Industry Classification System (NAICS) code corresponding to the given company.,Predicate,,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,
http://schemas.scales-okn.org/rdf/scales#OntologyLabel,Ontology Label,An event label or attribute label from the SCALES Litigation Ontology that applies to a given docket entry.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://schemas.scales-okn.org/rdf/scales#Party,Party,A party to a court case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://schemas.scales-okn.org/rdf/scales#Party
http://schemas.scales-okn.org/rdf/scales#PoliticalPartyOfAppointingPresident,Political Party Of Appointing President,The political party to which the US president belonged when they appointed a given judge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://schemas.scales-okn.org/rdf/scales#ReferenceToOtherEntry,Reference To Other Entry,A hyperlink to another docket entry within the text of a given PACER docket entry.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction
http://schemas.scales-okn.org/rdf/scales#RelatedCase,Related Case,"A case listed in the PACER ""Related Cases"" header section on the docket sheet for a given case.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/niem-core/5.0/#CourtCase
http://schemas.scales-okn.org/rdf/scales#SICCode,SICCode,A Standard Industrial Classification (SIC) code corresponding to the given company.,Predicate,,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,
http://schemas.scales-okn.org/rdf/scales#UVAJudgeDirID,UVAJudge Dir ID,A unique ID that specifies a judge in the University of Virginia's directory of bankruptcy and magistrate judges.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://schemas.scales-okn.org/rdf/scales#UnparsedSentenceText,Unparsed Sentence Text,Any text in a given sentence description that SCALES could not parse.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,
http://stko-kwg.geog.ucsb.edu/lod/ontology/AdministrativeRegion_2,Administrative Region 2,"A level-2 KnowWhereGraph region, denoting a county, district, or equivalent administrative area.",Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
